,Rep,Peak,Intensity,UV,Substrate,cma,
92979,16,1003.095947,21.4454986,72h,MGS-1,14.31168653,Phe
93994,0,1003.095947,24.0485718,72h,MGS-1,14.43395847,Phe
95009,5,1003.095947,19.5025604,72h,MGS-1,11.70541402,Phe
96024,10,1003.095947,17.4558212,72h,MGS-1,10.47693951,Phe
97039,16,1003.095947,16.282338,72h,MGS-1,9.772667964,Phe
98054,0,1003.095947,12.5929122,72h,MGS-1,7.332538764,Phe
99069,5,1003.095947,11.9671258,72h,MGS-1,6.968125109,Phe
100084,10,1003.095947,11.116677,72h,MGS-1,6.472991873,Phe
101099,16,1003.095947,10.5330764,72h,MGS-1,6.133164236,Phe
102114,0,1003.095947,24.4280716,72h,MGS-1,12.63233195,Phe
103129,5,1003.095947,22.9446564,72h,MGS-1,17.51453324,Phe
104144,10,1003.095947,25.8719696,72h,MGS-1,22.72587807,Phe
105159,16,1003.095947,27.0950074,72h,MGS-1,26.28414262,Phe
106174,0,1003.095947,16.580124,72h,MGS-1,12.05028269,Phe
107189,5,1003.095947,14.8480438,72h,MGS-1,10.79147111,Phe
108204,10,1003.095947,13.953418,72h,MGS-1,10.14127804,Phe
109219,16,1003.095947,13.3867752,72h,MGS-1,9.729415018,Phe
110234,0,1003.095947,17.4185822,72h,MGS-1,15.2775056,Phe
111249,5,1003.095947,14.7573838,72h,MGS-1,12.94342356,Phe
112264,10,1003.095947,13.5321716,72h,MGS-1,11.86881722,Phe
113279,16,1003.095947,12.6963898,72h,MGS-1,11.13578038,Phe
114294,0,1003.095947,15.9911636,72h,MGS-1,21.22003078,Phe
115309,5,1003.095947,40.26138,72h,MGS-1,21.28364215,Phe
116324,10,1003.095947,46.6195008,72h,MGS-1,22.78592178,Phe
117339,16,1003.095947,50.66456,72h,MGS-1,22.70938462,Phe
118354,0,1003.095947,197.6568482,72h,MGS-1,103.9609058,Phe
119369,5,1003.095947,159.607788,72h,MGS-1,83.94824067,Phe
120384,11,1003.095947,148.9733764,72h,MGS-1,78.35501431,Phe
121399,16,1003.095947,138.8599854,72h,MGS-1,73.03571458,Phe
122414,0,1003.095947,305.19104,0h,MGS-1,141.5082353,Phe
123429,5,1003.095947,272.284424,0h,MGS-1,126.2504053,Phe
124444,10,1003.095947,244.436096,0h,MGS-1,113.3379881,Phe
125459,16,1003.095947,239.64682,0h,MGS-1,111.1172815,Phe
126474,0,1003.095947,289.963776,0h,MGS-1,144.9057476,Phe
127489,5,1003.095947,234.755844,0h,MGS-1,117.3162408,Phe
128504,10,1003.095947,211.233292,0h,MGS-1,105.5611059,Phe
129519,16,1003.095947,197.659622,0h,MGS-1,98.77787173,Phe
130534,0,1003.095947,297.037079,0h,MGS-1,157.0100899,Phe
131549,5,1003.095947,247.938171,0h,MGS-1,131.0570525,Phe
132564,10,1003.095947,233.186646,0h,MGS-1,123.2595435,Phe
133579,16,1003.095947,224.223984,0h,MGS-1,118.522024,Phe
134594,0,1003.095947,228.685654,0h,MGS-1,129.1138441,Phe
135609,5,1003.095947,187.962555,0h,MGS-1,106.1219749,Phe
136624,10,1003.095947,171.552216,0h,MGS-1,96.85681891,Phe
137639,16,1003.095947,159.034592,0h,MGS-1,89.78946591,Phe
138654,0,1003.095947,236.313354,0h,MGS-1,136.0547559,Phe
139669,5,1003.095947,189.690399,0h,MGS-1,109.2121426,Phe
140684,10,1003.095947,168.343781,0h,MGS-1,96.92207227,Phe
141699,16,1003.095947,156.7715,0h,MGS-1,90.25946764,Phe
142714,0,1003.095947,233.843979,0h,MGS-1,139.4118718,Phe
143729,5,1003.095947,226.072372,0h,MGS-1,134.7785882,Phe
144744,10,1003.095947,228.614731,0h,MGS-1,136.2942396,Phe
145759,16,1003.095947,228.507904,0h,MGS-1,136.2305822,Phe
146774,0,1003.095947,247.867233,0h,MGS-1,133.3392201,Phe
147789,5,1003.095947,223.6577,0h,MGS-1,120.3157124,Phe
148804,10,1003.095947,218.801163,0h,MGS-1,117.7032338,Phe
149819,16,1003.095947,228.376724,0h,MGS-1,122.8543683,Phe
150834,0,1003.095947,232.83136,0h,MGS-1,101.1101785,Phe
151849,5,1003.095947,209.254486,0h,MGS-1,90.87160364,Phe
152864,10,1003.095947,192.40329,0h,MGS-1,83.55377282,Phe
153879,16,1003.095947,181.699631,0h,MGS-1,78.90549427,Phe
154894,0,1003.095947,155.277512,0h,MGS-1,138.2301795,Phe
155909,5,1003.095947,137.13446,0h,MGS-1,118.7922445,Phe
156924,10,1003.095947,133.224258,0h,MGS-1,114.8024388,Phe
157939,16,1003.095947,164.571075,0h,MGS-1,146.2232841,Phe
158954,0,1003.095947,107.473679,0h,MGS-1,56.52368945,Phe
159969,5,1003.095947,62.554607,0h,MGS-1,39.75566118,Phe
160984,10,1003.095947,54.673611,0h,MGS-1,42.02747664,Phe
161999,16,1003.095947,54.586338,0h,MGS-1,47.08584373,Phe
163014,0,1003.095947,20.584993,72h,MMS-2,14.9898755,Phe
164029,5,1003.095947,5.8294521,72h,MMS-2,5.841531855,Phe
165044,10,1003.095947,4.95891,72h,MMS-2,5.882516327,Phe
166059,16,1003.095947,4.6506222,72h,MMS-2,5.878909955,Phe
167074,0,1003.095947,-22.919841,72h,MMS-2,31.55407746,Phe
168089,5,1003.095947,40.3797455,72h,MMS-2,59.0638278,Phe
169104,10,1003.095947,13.7458435,72h,MMS-2,23.94485897,Phe
170119,16,1003.095947,19.4488846,72h,MMS-2,26.79257774,Phe
171134,0,1003.095947,-0.3170174,72h,MMS-2,7.6120747,Phe
172149,5,1003.095947,1.0384994,72h,MMS-2,3.505052,Phe
173164,10,1003.095947,5.1095661,72h,MMS-2,5.057454773,Phe
174179,16,1003.095947,6.2451859,72h,MMS-2,5.074300845,Phe
175194,0,1003.095947,-8.8123779,72h,MMS-2,24.52728187,Phe
176209,5,1003.095947,23.6680893,72h,MMS-2,30.29490302,Phe
177224,10,1003.095947,29.6927582,72h,MMS-2,24.07099757,Phe
178239,16,1003.095947,46.6272491,72h,MMS-2,33.84333127,Phe
179254,0,1003.095947,16.447963,72h,MMS-2,6.955672518,Phe
180269,5,1003.095947,14.7820374,72h,MMS-2,6.251165782,Phe
181284,10,1003.095947,13.7422852,72h,MMS-2,5.811488936,Phe
182299,16,1003.095947,13.3149765,72h,MMS-2,5.630779618,Phe
183314,0,1003.095947,16.9580811,72h,MMS-2,10.24436967,Phe
184329,5,1003.095947,5.9739464,72h,MMS-2,7.191708764,Phe
185344,10,1003.095947,5.2694885,72h,MMS-2,7.621877409,Phe
186359,16,1003.095947,4.797876,72h,MMS-2,8.153316445,Phe
187374,0,1003.095947,51.4042175,72h,MMS-2,14.18394414,Phe
188389,5,1003.095947,15.3997238,72h,MMS-2,11.38697258,Phe
189404,10,1003.095947,0.6855127,72h,MMS-2,4.920623491,Phe
190419,16,1003.095947,-3.6392273,72h,MMS-2,5.302932218,Phe
191434,0,1003.095947,-2.4017567,72h,MMS-2,1.323743982,Phe
192449,5,1003.095947,-2.0328999,72h,MMS-2,1.120413991,Phe
193464,10,1003.095947,-1.8316933,72h,MMS-2,1.009551,Phe
194479,16,1003.095947,-1.665818,72h,MMS-2,0.918055127,Phe
195494,0,1003.095947,18.5101212,72h,MMS-2,13.58154284,Phe
196509,5,1003.095947,16.423349,72h,MMS-2,12.05041138,Phe
197524,10,1003.095947,15.6214417,72h,MMS-2,11.46207507,Phe
198539,16,1003.095947,15.4161118,72h,MMS-2,11.31147536,Phe
199554,0,1003.095947,-3.6367672,72h,MMS-2,-0.0411888,Phe
200569,5,1003.095947,-2.714699,72h,MMS-2,3.160177155,Phe
201584,10,1003.095947,-1.3187454,72h,MMS-2,5.788250764,Phe
202599,16,1003.095947,-1.1638722,72h,MMS-2,5.935696082,Phe
203614,0,1003.095947,26.113968,0h,MMS-2,22.48405109,Phe
204629,5,1003.095947,20.55158,0h,MMS-2,16.63062118,Phe
205644,10,1003.095947,16.590948,0h,MMS-2,12.84059273,Phe
206659,16,1003.095947,14.18848,0h,MMS-2,10.64348291,Phe
207674,0,1003.095947,12.367655,0h,MMS-2,19.26181318,Phe
208689,5,1003.095947,10.939148,0h,MMS-2,17.03688673,Phe
209704,10,1003.095947,10.588082,0h,MMS-2,16.49045455,Phe
210719,16,1003.095947,10.506479,0h,MMS-2,16.36326155,Phe
211734,0,1003.095947,274.220978,0h,MMS-2,136.663981,Phe
212749,5,1003.095947,264.844696,0h,MMS-2,131.9909918,Phe
