Peak	Intensity	UV	Substrate	cma	Aminoacid
829	607.596008	0h	Olivine	382.9492631	Tyr
829	403.928497	0h	Olivine	254.5838436	Tyr
829	335.71521	0h	Olivine	211.5911234	Tyr
829	288.226135	0h	Olivine	181.6603257	Tyr
829	173.857498	0h	Olivine	244.3569335	Tyr
829	121.743324	0h	Olivine	171.110491	Tyr
829	103.93248	0h	Olivine	146.0772101	Tyr
829	95.342026	0h	Olivine	134.0029653	Tyr
829	777.046204	0h	Olivine	324.7417125	Tyr
829	487.371124	0h	Olivine	203.6812487	Tyr
829	384.719727	0h	Olivine	160.7815005	Tyr
829	327.80954	0h	Olivine	136.9976821	Tyr
829	1715.862183	0h	Olivine	889.3946825	Tyr
829	1685.000366	0h	Olivine	913.001849	Tyr
829	1601.881958	0h	Olivine	879.5499863	Tyr
829	1525.582642	0h	Olivine	843.8017897	Tyr
829	205.172485	0h	Olivine	154.3663001	Tyr
829	179.014679	0h	Olivine	110.4512009	Tyr
829	180.670715	0h	Olivine	101.6862307	Tyr
829	171.312363	0h	Olivine	92.36384864	Tyr
829	288.543335	0h	Olivine	212.081887	Tyr
829	184.423264	0h	Olivine	135.5522564	Tyr
829	151.023331	0h	Olivine	111.0034117	Tyr
829	122.99025	0h	Olivine	90.39873291	Tyr
829	1373.262695	0h	Olivine	947.2537286	Tyr
829	1003.436401	0h	Olivine	692.1536547	Tyr
829	844.656311	0h	Olivine	582.6299135	Tyr
829	758.853516	0h	Olivine	523.4447049	Tyr
829	535.119324	0h	Olivine	471.7534264	Tyr
829	367.591644	0h	Olivine	324.0634668	Tyr
829	305.831055	0h	Olivine	269.616451	Tyr
829	273.80072	0h	Olivine	241.3787424	Tyr
829	638.629517	0h	Olivine	427.4615376	Tyr
829	448.230499	0h	Olivine	300.0194177	Tyr
829	371.488129	0h	Olivine	248.6524998	Tyr
829	321.888184	0h	Olivine	215.4530657	Tyr
829	28.24649238	72h	MGS-1	67.4538744	Tyr
829	53.4690475	72h	MGS-1	58.11240264	Tyr
829	50.04673388	72h	MGS-1	38.89546222	Tyr
829	45.5392265	72h	MGS-1	35.5165198	Tyr
829	22.42406275	72h	MGS-1	25.47278185	Tyr
829	22.11868863	72h	MGS-1	27.35697258	Tyr
829	22.37382313	72h	MGS-1	28.29061397	Tyr
829	20.33617025	72h	MGS-1	26.48905372	Tyr
829	67.064949	72h	MGS-1	43.15495877	Tyr
829	67.8962555	72h	MGS-1	44.82815358	Tyr
829	68.94937138	72h	MGS-1	47.09390315	Tyr
829	64.79332738	72h	MGS-1	44.54658558	Tyr
829	27.58934788	72h	MGS-1	22.84329019	Tyr
829	6.980401	72h	MGS-1	18.98205574	Tyr
829	1.573883625	72h	MGS-1	16.7426235	Tyr
829	-0.725214875	72h	MGS-1	15.07980817	Tyr
829	13.43229863	72h	MGS-1	28.15523039	Tyr
829	12.78475763	72h	MGS-1	17.97211347	Tyr
829	18.16045575	72h	MGS-1	17.4147671	Tyr
829	18.83216475	72h	MGS-1	16.28534001	Tyr
829	29.63834188	72h	MGS-1	37.305669	Tyr
829	23.09526825	72h	MGS-1	23.5447855	Tyr
829	21.43767925	72h	MGS-1	19.42791011	Tyr
829	19.68144038	72h	MGS-1	15.61558172	Tyr
829	13.00210475	72h	MGS-1	7.261358011	Tyr
829	2.13368725	72h	MGS-1	7.730852898	Tyr
829	0.473878375	72h	MGS-1	9.60852625	Tyr
829	-1.374619625	72h	MGS-1	11.16253016	Tyr
829	-10.37730213	72h	MGS-1	19.05567277	Tyr
829	17.03269763	72h	MGS-1	22.49273623	Tyr
829	25.78318213	72h	MGS-1	23.09201168	Tyr
829	36.0811005	72h	MGS-1	27.14227018	Tyr
829	35.93582913	72h	MGS-1	41.73272047	Tyr
829	32.07993313	72h	MGS-1	33.95980895	Tyr
829	32.8552475	72h	MGS-1	30.39844848	Tyr
829	33.88162238	72h	MGS-1	28.74828625	Tyr
829	7.03380825	72h	MGS-1	13.86500808	Tyr
829	4.154738875	72h	MGS-1	16.94632684	Tyr
829	3.4560215	72h	MGS-1	17.963012	Tyr
829	2.47772	72h	MGS-1	17.3616892	Tyr
829	287.194702	0h	MGS-1	214.4931921	Tyr
829	234.138504	0h	MGS-1	174.8679002	Tyr
829	212.682068	0h	MGS-1	158.8430748	Tyr
829	198.716217	0h	MGS-1	148.4124999	Tyr
829	45.281849	0h	MGS-1	48.519117	Tyr
829	49.982868	0h	MGS-1	53.55630582	Tyr
829	54.196228	0h	MGS-1	58.07094327	Tyr
829	58.34713	0h	MGS-1	62.51851655	Tyr
829	785.386719	0h	MGS-1	493.4250559	Tyr
829	637.907227	0h	MGS-1	400.770073	Tyr
829	562.020264	0h	MGS-1	353.093533	Tyr
829	526.373596	0h	MGS-1	330.6983136	Tyr
829	95.832573	0h	MGS-1	80.650731	Tyr
829	93.571602	0h	MGS-1	78.74798782	Tyr
829	92.799416	0h	MGS-1	78.09801845	Tyr
829	93.350182	0h	MGS-1	78.56152036	Tyr
829	13.822169	0h	MGS-1	16.11489655	Tyr
829	15.334483	0h	MGS-1	19.81496609	Tyr
829	23.782663	0h	MGS-1	29.35576791	Tyr
829	26.035213	0h	MGS-1	31.95629773	Tyr
829	535.943848	0h	MGS-1	423.4804702	Tyr
829	436.499786	0h	MGS-1	344.9039334	Tyr
829	400.893494	0h	MGS-1	316.7692423	Tyr
829	384.034882	0h	MGS-1	303.4483221	Tyr
829	214.635529	0h	MGS-1	159.6180312	Tyr
829	185.665512	0h	MGS-1	138.0738408	Tyr
829	174.356003	0h	MGS-1	129.6633353	Tyr
829	166.961975	0h	MGS-1	124.1646085	Tyr
829	97.018799	0h	MGS-1	83.84306391	Tyr
829	93.736687	0h	MGS-1	81.00663355	Tyr
829	95.976891	0h	MGS-1	82.94263609	Tyr
829	99.73407	0h	MGS-1	86.18951073	Tyr
829	1254.806885	0h	MGS-1	767.080794	Tyr
829	991.08313	0h	MGS-1	605.8628151	Tyr
829	866.953979	0h	MGS-1	529.9809555	Tyr
829	805.627014	0h	MGS-1	492.4909544	Tyr
829	73.003639	0h	MGS-1	51.10810745	Tyr
829	87.126556	0h	MGS-1	60.99519564	Tyr
829	89.958908	0h	MGS-1	62.97802918	Tyr
829	99.557014	0h	MGS-1	69.69733318	Tyr
829	69.9578705	72h	MMS-2	81.66895224	Tyr
829	108.0076497	72h	MMS-2	97.8260195	Tyr
829	96.75989783	72h	MMS-2	81.61647842	Tyr
829	104.0979003	72h	MMS-2	83.98666679	Tyr
829	71.397232	72h	MMS-2	46.59261703	Tyr
829	46.22337333	72h	MMS-2	29.27881697	Tyr
829	38.573115	72h	MMS-2	24.83343629	Tyr
829	36.75130967	72h	MMS-2	25.6700315	Tyr
829	15.50951133	72h	MMS-2	11.65659755	Tyr
829	13.52154533	72h	MMS-2	10.1625588	Tyr
829	12.69050733	72h	MMS-2	9.537929803	Tyr
829	12.06847767	72h	MMS-2	9.070358273	Tyr
829	-10.07631933	72h	MMS-2	17.95699729	Tyr
829	-8.346635167	72h	MMS-2	14.87395352	Tyr
829	-7.6424675	72h	MMS-2	13.61911291	Tyr
829	-6.6970405	72h	MMS-2	11.93458495	Tyr
829	47.23881017	72h	MMS-2	22.7647862	Tyr
829	26.45177467	72h	MMS-2	19.07542523	Tyr
829	24.51306917	72h	MMS-2	20.59975211	Tyr
829	21.228068	72h	MMS-2	21.44442538	Tyr
829	-8.984579667	72h	MMS-2	19.90857552	Tyr
829	20.82598883	72h	MMS-2	21.26599809	Tyr
829	25.34057117	72h	MMS-2	16.34502279	Tyr
829	37.02247617	72h	MMS-2	17.77475508	Tyr
829	38.93270367	72h	MMS-2	12.73559921	Tyr
829	32.03756967	72h	MMS-2	19.89715606	Tyr
829	28.46575667	72h	MMS-2	21.82977512	Tyr
829	27.04276283	72h	MMS-2	24.25565592	Tyr
829	29.22307333	72h	MMS-2	26.51288029	Tyr
829	10.650013	72h	MMS-2	20.6024357	Tyr
829	2.265130167	72h	MMS-2	17.95998594	Tyr
829	0.6817525	72h	MMS-2	18.40690535	Tyr
829	-53.31939183	72h	MMS-2	10.06524864	Tyr
829	-16.293855	72h	MMS-2	8.560908682	Tyr
829	0.4327755	72h	MMS-2	7.867142667	Tyr
829	12.87791817	72h	MMS-2	9.126751742	Tyr
829	46.69377133	72h	MMS-2	22.19925314	Tyr
829	35.31779483	72h	MMS-2	20.19372082	Tyr
829	40.86698667	72h	MMS-2	29.24585171	Tyr
829	40.02148433	72h	MMS-2	28.51066436	Tyr
829	17.115326	0h	MMS-2	26.93943945	Tyr
829	18.280706	0h	MMS-2	28.77391409	Tyr
829	18.956942	0h	MMS-2	29.83836682	Tyr
829	19.416647	0h	MMS-2	30.56141573	Tyr
829	-28.915495	0h	MMS-2	10.09909555	Tyr
829	-28.172295	0h	MMS-2	9.839487455	Tyr
