,Rep,Peak,Intensity,UV,Substrate,cma,Aminoacid
93077,16,829.726807,64.79332738,72h,MGS-1,44.54658558,Tyr
94092,0,829.726807,27.58934788,72h,MGS-1,22.84329019,Tyr
95107,5,829.726807,6.980401,72h,MGS-1,18.98205574,Tyr
96122,10,829.726807,1.573883625,72h,MGS-1,16.7426235,Tyr
97137,16,829.726807,-0.725214875,72h,MGS-1,15.07980817,Tyr
98152,0,829.726807,13.43229863,72h,MGS-1,28.15523039,Tyr
99167,5,829.726807,12.78475763,72h,MGS-1,17.97211347,Tyr
100182,11,829.726807,18.16045575,72h,MGS-1,17.4147671,Tyr
101197,16,829.726807,18.83216475,72h,MGS-1,16.28534001,Tyr
102212,0,829.726807,29.63834188,72h,MGS-1,37.305669,Tyr
103227,5,829.726807,23.09526825,72h,MGS-1,23.5447855,Tyr
104242,10,829.726807,21.43767925,72h,MGS-1,19.42791011,Tyr
105257,16,829.726807,19.68144038,72h,MGS-1,15.61558172,Tyr
106272,0,829.726807,13.00210475,72h,MGS-1,7.261358011,Tyr
107287,5,829.726807,2.13368725,72h,MGS-1,7.730852898,Tyr
108302,10,829.726807,0.473878375,72h,MGS-1,9.60852625,Tyr
109317,16,829.726807,-1.374619625,72h,MGS-1,11.16253016,Tyr
110332,0,829.726807,-10.37730213,72h,MGS-1,19.05567277,Tyr
111347,5,829.726807,17.03269763,72h,MGS-1,22.49273623,Tyr
112362,10,829.726807,25.78318213,72h,MGS-1,23.09201168,Tyr
113377,16,829.726807,36.0811005,72h,MGS-1,27.14227018,Tyr
114392,0,829.726807,35.93582913,72h,MGS-1,41.73272047,Tyr
115407,5,829.726807,32.07993313,72h,MGS-1,33.95980895,Tyr
116422,10,829.726807,32.8552475,72h,MGS-1,30.39844848,Tyr
117437,16,829.726807,33.88162238,72h,MGS-1,28.74828625,Tyr
118452,0,829.726807,7.03380825,72h,MGS-1,13.86500808,Tyr
119467,5,829.726807,4.154738875,72h,MGS-1,16.94632684,Tyr
120482,10,829.726807,3.4560215,72h,MGS-1,17.963012,Tyr
121497,16,829.726807,2.47772,72h,MGS-1,17.3616892,Tyr
122512,0,829.726807,287.194702,0h,MGS-1,214.4931921,Tyr
123527,5,829.726807,234.138504,0h,MGS-1,174.8679002,Tyr
124542,10,829.726807,212.682068,0h,MGS-1,158.8430748,Tyr
125557,16,829.726807,198.716217,0h,MGS-1,148.4124999,Tyr
126572,0,829.726807,45.281849,0h,MGS-1,48.519117,Tyr
127587,5,829.726807,49.982868,0h,MGS-1,53.55630582,Tyr
128602,11,829.726807,54.196228,0h,MGS-1,58.07094327,Tyr
129617,16,829.726807,58.34713,0h,MGS-1,62.51851655,Tyr
130632,0,829.726807,785.386719,0h,MGS-1,493.4250559,Tyr
131647,5,829.726807,637.907227,0h,MGS-1,400.770073,Tyr
132662,10,829.726807,562.020264,0h,MGS-1,353.093533,Tyr
133677,16,829.726807,526.373596,0h,MGS-1,330.6983136,Tyr
134692,0,829.726807,95.832573,0h,MGS-1,80.650731,Tyr
135707,5,829.726807,93.571602,0h,MGS-1,78.74798782,Tyr
136722,10,829.726807,92.799416,0h,MGS-1,78.09801845,Tyr
137737,16,829.726807,93.350182,0h,MGS-1,78.56152036,Tyr
138752,0,829.726807,13.822169,0h,MGS-1,16.11489655,Tyr
139767,5,829.726807,15.334483,0h,MGS-1,19.81496609,Tyr
140782,10,829.726807,23.782663,0h,MGS-1,29.35576791,Tyr
141797,16,829.726807,26.035213,0h,MGS-1,31.95629773,Tyr
142812,0,829.726807,535.943848,0h,MGS-1,423.4804702,Tyr
143827,5,829.726807,436.499786,0h,MGS-1,344.9039334,Tyr
144842,10,829.726807,400.893494,0h,MGS-1,316.7692423,Tyr
145857,16,829.726807,384.034882,0h,MGS-1,303.4483221,Tyr
146872,0,829.726807,214.635529,0h,MGS-1,159.6180312,Tyr
147887,5,829.726807,185.665512,0h,MGS-1,138.0738408,Tyr
148902,10,829.726807,174.356003,0h,MGS-1,129.6633353,Tyr
149917,16,829.726807,166.961975,0h,MGS-1,124.1646085,Tyr
150932,0,829.726807,97.018799,0h,MGS-1,83.84306391,Tyr
151947,5,829.726807,93.736687,0h,MGS-1,81.00663355,Tyr
